"x","y","min.cover","max.cover","mean.cover","count"
6048663.34244908,4502820.46375464,12,99,42.2857142857143,7
6049867.95551206,4502333.98540229,4,95,36.1,10
6050470.26204354,4502449.81358142,1,81,25.8,5
6050516.5933152,4502125.49467985,2,87,22.8571428571429,7
6051559.04692738,4501430.52560506,3,97,31.5,10
6051489.5500199,4501106.20670349,7,81,25.6,5
6050979.90603172,4501198.86924679,5,96,31.5714285714286,7
6050928.426841,4500941.47329317,1,85,34.8888888888889,9
6051674.87510652,4500542.50956505,3,85,30.1666666666667,6
6050748.24967346,4500310.85320678,1,82,30.1666666666667,6
6051752.0938926,4500169.28543229,1,98,32.4444444444444,9
6052215.40660913,4500040.58745548,9,99,41.3333333333333,9
6051906.53146478,4499808.93109721,1,92,27.1428571428571,7
6052704.45892102,4499963.36866939,1,99,39.2222222222222,9
6052833.15689784,4499577.27473895,1,91,28.2857142857143,7
6053250.13834271,4499832.09673304,7,100,43.5,10
6050284.93695693,4501430.52560506,7,97,34.1428571428571,7
6065535.64720931,4496836.00783283,2,84,26.8333333333333,6
6046636.34931428,4496305.12867847,8,86,33.375,8
6047128.61907559,4495725.98778281,1,86,35.25,8
6056076.34591353,4493090.89670756,1,88,25.7142857142857,7
6056308.00227179,4493090.89670756,3,83,27,7
6056510.70158528,4493293.59602104,3,87,26.5,8
6056732.70559528,4493824.4751754,2,82,22.6666666666667,6
6057890.9873866,4494056.13153366,3,87,27.6666666666667,6
6062695.09900679,4496863.58597072,1,85,25.5714285714286,7
6080956.23879108,4494666.15994376,3,90,24.8,5
6076056.7068138,4508351.25930819,2,82,26,8
6077915.22259714,4509327.90145496,1,94,37.9090909090909,11
6065313.64319931,4507424.63387513,3,99,41.375,8
6064316.69351463,4504508.24579342,1,85,25.4285714285714,7
6057350.45588398,4511739.23354779,5,90,31,10
6054964.39539386,4515468.90091584,17,90,39,5
6054593.74522064,4515862.71672489,1,83,33.4,10
6053064.8132561,4516951.50160873,16,96,37.5714285714286,7
6053325.42665915,4517212.11501178,1,99,38.25,8
6052331.23478826,4518380.04915136,5,97,31,6
6052204.37535398,4518672.37741297,20,89,48.4285714285714,7
6051860.20019313,4518943.7462898,9,83,35.2,5
6049821.6242404,4519963.03426616,1,81,21.1428571428571,7
6049010.82698648,4519325.97928093,4,84,32,8
6044435.61391077,4517675.4277283,10,86,36.875,8
6056407.28356819,4514800.40685342,9,92,36.8571428571429,7
6056771.31498832,4515329.90710088,9,94,31.8,5
6056385.22105788,4515716.00103132,2,93,33.3333333333333,9
6057049.30261824,4515468.90091584,11,83,42.2,5
6053798.39172394,4521314.3630227,8,91,30,6
6055407.1164341,4521069.83686675,3,99,39.3333333333333,9
6055178.67752526,4521613.58581879,1,87,26.875,8
6055844.68955527,4521352.97241574,10,83,36.8571428571429,7
6056771.31498832,4521816.28513227,5,97,37.4285714285714,7
6056034.22657567,4522174.29950413,1,93,37.7272727272727,11
6056230.78348571,4521558.88917864,6,97,38,9
6056585.98990171,4522418.59166375,9,83,35.8,5
6057466.28406311,4522047.94149053,9,88,35.4285714285714,7
6057594.98203993,4523283.44206794,2,91,36.3333333333333,9
6059882.12894215,4523140.03575092,4,91,34.8571428571429,7
6059473.9725014,4523669.53599838,1,84,31.7777777777778,9
6060349.11874373,4523180.48368649,9,95,44,9
6060735.21267417,4523875.45276128,1,97,30.1111111111111,9
6069100.58116704,4524647.64062216,2,84,28.8888888888889,9
6069383.71671603,4524441.72385926,1,92,30.8888888888889,9
6071018.18102156,4524711.98961057,7,94,44.1,10
6071266.38426255,4524331.4113077,6,87,40.2857142857143,7
6071828.97827548,4524132.84871491,2,85,31.1428571428571,7
6071803.23868012,4525342.60969695,1,100,37.1111111111111,9
6076462.10544076,4524364.50507317,6,100,31.1428571428571,7
6078624.23145122,4521352.97241574,1,97,35.6666666666667,9
6080284.43535211,4519499.72154963,1,85,25.3,10
6081095.23260604,4519325.97928093,5,83,39.25,4
6082971.64910798,4516743.01088629,3,85,39.1,10
6074863.67656874,4511345.41773875,3,95,36.2,10
6075661.8380213,4511075.8539764,2,94,30.6363636363636,11
6076577.93361989,4511275.92083127,12,97,41.9166666666667,12
6077909.95767991,4510899.47924909,15,89,40.625,8
6078057.96035324,4510413.64438662,1,100,49.4444444444444,9
6078841.8480302,4510149.22854335,12,90,36.7272727272727,11
6078141.61403817,4509509.54109951,3,91,33.25,8
6077041.24633642,4509422.66996516,1,84,24.9,10
6077620.38723208,4507453.59091992,3,88,33.5714285714286,7
6078817.27841644,4507183.32516861,5,97,31,6
6079705.29445645,4507685.24727818,15,87,32.8571428571429,7
6079126.15356079,4508264.38817384,6,83,38.3,10
6080110.69308342,4507250.89160644,7,94,40,8
6081056.62321299,4506797.23123817,17,99,43,6
6081373.22023595,4507129.27201835,15,85,41.2,5
6071531.13438628,4503283.77647117,2,95,23.4285714285714,7
6087311.34488612,4510735.38932865,5,90,40.1666666666667,6
6087581.61063743,4511314.53022431,1,86,30.8888888888889,9
6086452.28589089,4513505.61327956,1,82,24.625,8
6060593.64489968,4490195.19222927,1,86,30,8
6078344.31335165,4508785.61497993,7,93,39.625,8
6047713.5513802,4522464.92293541,1,100,31.5,10
6046269.56008036,4524210.06750099,1,88,28.3333333333333,9
6044261.87164207,4526075.19818035,1,91,28.0769230769231,13
6038962.73244678,4532733.09101545,1,83,26.25,8
6037659.66543155,4534209.90029938,9,94,35.4,10
6035806.41456543,4536410.63570288,1,91,35.75,8
6033142.3664454,4538661.01175459,2,93,38.1428571428571,7
6032505.31146017,4539248.42609162,2,95,30.625,8
6031202.24444494,4540290.8797038,1,94,41.125,8
6029667.52107144,4541275.41922642,13,89,39,7
6029870.22038492,4541478.1185399,3,82,35.375,8
6029233.16539969,4541536.03262947,1,97,34.375,8
6028319.70225972,4542307.34300414,1,97,36.7272727272727,11
6027096.13549471,4542920.1793701,1,100,27.9,10
6026269.89448357,4542691.09697137,4,88,27.3333333333333,9
6022486.17396526,4543167.27948558,1,86,38,6
6019428.31003617,4543221.33263584,19,85,39.4,5
6016797.72339011,4543875.11835805,1,83,30.1111111111111,9
6016463.10865039,4544402.78006298,14,92,46.6666666666667,6
6014772.01723507,4544796.59587203,2,100,29.7,10
6014506.89940283,4544698.78540965,1,90,28.4444444444444,9
6014185.1544608,4545174.96792386,1,93,25.3333333333333,6
6013749.41988216,4545478.32744064,1,98,34.4285714285714,7
6011907.2002712,4545702.6296288,1,99,33.3333333333333,9
6011366.66876859,4545676.89003343,3,97,39,7
6010718.03096545,4545120.9147736,15,89,37.8,5
6010337.08495408,4545522.45246126,3,89,28.8888888888889,9
6009559.74917413,4545815.88384839,4,82,32.6,5
6008470.96429029,4546487.68728736,5,82,34.8333333333333,6
6011289.4499825,4543823.63916732,2,90,36.5555555555556,9
6011984.41905729,4544055.29552559,1,94,29.6666666666667,9
6012640.77873904,4544286.95188385,2,86,29.25,8
6013509.49008253,4544026.33848081,3,95,26,8
6014970.21211936,4543900.85795341,4,99,31.6666666666667,9
6015351.15813073,4543684.64535237,15,89,45,5
6015431.18487267,4542117.80598375,3,97,37.6363636363636,11
6014609.85778428,4542433.70101774,2,83,18.5714285714286,7
6012640.77873904,4542549.52919687,23,89,47,6
6009877.4493226,4541573.26311562,5,92,41.1428571428571,7
6008239.30793202,4540696.27833076,6,83,41.5,6
6006347.44767287,4539911.2206722,4,94,40.3333333333333,9
6005987.09333779,4539576.60593249,2,89,30.8888888888889,9
6005175.12610226,4539443.22802925,4,99,38.1818181818182,11
6005196.18577119,4538937.79597485,1,100,48.2727272727273,11
6004383.8842552,4539173.96511932,3,100,47.6428571428571,14
6004388.02097588,4539711.73880814,4,87,31.75,8
6002563.72715456,4539653.82471858,3,96,25.4285714285714,7
6001974.05642443,4540390.91313123,4,94,34.6363636363636,11
6000652.56219888,4540377.75083815,1,96,32.625,8
5999204.70995973,4540395.12506502,1,99,40.3,10
5999436.36631799,4539885.48107684,3,100,34.1,10
5998562.39005727,4539885.48107684,2,99,36.2727272727273,11
5997814.77181015,4540580.45015163,11,90,52.1666666666667,6
5994942.23296767,4541414.41304138,1,88,39.9,10
5981797.38932447,4550607.86108791,1,99,45.2142857142857,14
5982139.35823428,4550773.32991524,1,94,38.9166666666667,12
5980350.45635658,4554093.73771702,5,86,29,9
5979927.59157562,4554479.83164746,15,90,40.5714285714286,7
5983365.20646343,4557057.00863314,6,95,29.25,8
5983766.46836971,4556961.86405743,1,86,27.4285714285714,7
5987969.37658393,4556101.4261553,1,88,19.1428571428571,7
5990942.29984832,4555445.06647356,1,82,21.3333333333333,6
5992718.33192834,4554827.31618485,3,87,31.8,10
5993661.50424413,4554777.67553665,7,96,43.8571428571429,7
5995382.38004837,4554658.02884612,1,81,37,13
5997003.97455622,4555174.80072225,5,84,22.1428571428571,7
5999378.45222843,4556419.95364792,3,85,32.5,8
6001038.65612932,4556062.81676226,1,85,31.0833333333333,12
6001376.48831845,4555927.68388661,2,91,31,8
6001868.75807976,4554711.48800572,5,81,39.7142857142857,7
6004370.64674902,4552487.58696639,21,100,50.2,5
6004764.46255806,4552510.75260222,6,90,40.3333333333333,6
6005111.94709546,4551071.17380443,3,85,30,7
6005343.60345372,4550773.32991524,1,91,35.1428571428571,7
6003700.94927694,4559492.03285353,4,90,36.3636363636364,11
6004314.01963922,4558907.04204983,4,92,27.5555555555556,9
6004747.91567533,4559146.0525782,5,87,38.7142857142857,7
6007660.16703636,4555058.97254312,4,84,34.625,8
6008752.26129675,4553784.86257267,3,94,41.5714285714286,7
6021559.5485322,4551642.04125873,6,89,28.5,8
6022549.35297206,4550267.89786084,2,100,36.3636363636364,11
6022486.17396526,4549615.04812392,2,82,25.4285714285714,7
6021976.52997708,4548920.07904913,1,100,35.3,10
6022324.01451447,4548410.43506095,8,100,43.7,10
6021238.79357461,4548367.66773327,1,100,48.2307692307692,13
6020343.35265132,4547559.09794433,1,94,38.375,8
6018663.8440539,4547414.31272041,5,81,35.6666666666667,6
6018514.9221093,4547728.70349234,1,92,25.4285714285714,7
6016779.00368439,4548793.72103553,1,98,41.3636363636364,11
6015999.79593387,4549267.56358652,3,82,37.1666666666667,6
6030660.33403543,4542897.01373427,1,82,22,7
6031103.79049268,4542804.35119096,7,89,32.4,5
6034763.96095325,4544286.95188385,3,81,27.2857142857143,7
6035960.85213761,4545715.49942648,1,92,29.3333333333333,6
6036269.72728196,4545985.76517779,1,97,33.5,6
6036443.46955066,4546835.17182475,1,91,33,8
6037286.44129879,4546577.77587113,1,85,34.8888888888889,9
6036501.38364023,4547124.74227258,4,86,32.75,8
6035359.64873164,4549515.76682752,8,100,50.5714285714286,14
6025932.06229443,4554914.1873192,1,97,24.5,8
6026926.25416532,4554943.14436398,2,89,27.5,6
