locationid	userid	centroid_X	centroid_Y
1642116	222222	-1.251190478	52.95238096
1642116	222222	-1.25059524	52.95238096
1642116	222222	-1.251190478	52.9529762
1642116	222222	-1.25059524	52.9529762
1642116	222222	-1.251190478	52.95357144
1642116	222222	-1.25059524	52.95357144
1642116	222222	-1.249404764	52.9529762
1642116	222222	-1.248809526	52.9529762
1642116	222222	-1.250000002	52.95357144
1642116	222222	-1.249404764	52.95357144
1642116	222222	-1.250000002	52.95178572
1642116	222222	-1.250000002	52.95238096
1642116	222222	-1.249404764	52.95238096
1642116	222222	-1.248809526	52.95238096
1642116	222222	-1.249404764	52.95178572
1642116	222222	-1.248809526	52.95178572
1642116	222222	-1.251190478	52.95119048
1642116	222222	-1.25059524	52.95119048
1642116	222222	-1.251190478	52.95178572
1642116	222222	-1.25059524	52.95178572
1642116	222222	-1.250000002	52.95119048
1642116	222222	-1.249404764	52.95119048
1642116	222222	-1.248809526	52.95119048
1651310	222222	-57.65000001	-29.24940476
1651310	222222	-57.64761905	-29.24880953
1651310	222222	-57.64880953	-29.24880953
1651310	222222	-57.64821429	-29.25119048
1651310	222222	-57.64880953	-29.25
1651310	222222	-57.64761905	-29.25059524
1651310	222222	-57.64940477	-29.24880953
1651310	222222	-57.64821429	-29.25059524
1651310	222222	-57.64880953	-29.25119048
1651310	222222	-57.64940477	-29.24940476
1651310	222222	-57.64940477	-29.25
1651310	222222	-57.64761905	-29.25
1651310	222222	-57.64761905	-29.24940476
1651310	222222	-57.64821429	-29.25
1651310	222222	-57.64940477	-29.25059524
1651310	222222	-57.64880953	-29.24940476
1651310	222222	-57.64821429	-29.24880953
1651310	222222	-57.64821429	-29.24940476
1651310	222222	-57.65000001	-29.25059524
1651310	222222	-57.64940477	-29.25119048
1651310	222222	-57.65000001	-29.25119048
1651310	222222	-57.65000001	-29.25
1651310	222222	-57.65000001	-29.24880953
1651310	222222	-57.64880953	-29.25059524
1651310	222222	-57.64761905	-29.25119048
1583861	222222	8.549404766	35.65178572
1583861	222222	8.550000004	35.65178572
1583861	222222	8.549404766	35.65238096
1583861	222222	8.550000004	35.65238096
1583861	222222	8.549404766	35.6529762
1583861	222222	8.550000004	35.6529762
1583861	222222	8.550595243	35.65238096
1583861	222222	8.551190481	35.65238096
1583861	222222	8.551785719	35.65238096
1583861	222222	8.550595243	35.6529762
1583861	222222	8.551190481	35.6529762
1583861	222222	8.551785719	35.6529762
1583861	222222	8.550595243	35.65119048
1583861	222222	8.550595243	35.65178572
1583861	222222	8.551190481	35.65178572
1583861	222222	8.551785719	35.65178572
1583861	222222	8.551190481	35.65119048
1583861	222222	8.551785719	35.65119048
1583861	222222	8.549404766	35.65059524
1583861	222222	8.550000004	35.65059524
1583861	222222	8.549404766	35.65119048
1583861	222222	8.550000004	35.65119048
1583861	222222	8.550595243	35.65059524
1583861	222222	8.551190481	35.65059524
1583861	222222	8.551785719	35.65059524
1655638	222222	-49.24880953	-19.54761905
1655638	222222	-49.25	-19.54642858
1655638	222222	-49.24940476	-19.54761905
1655638	222222	-49.25	-19.54761905
1655638	222222	-49.25	-19.54702381
1655638	222222	-49.24940476	-19.54702381
1655638	222222	-49.24940476	-19.54880953
1655638	222222	-49.24880953	-19.54880953
1655638	222222	-49.25	-19.54880953
1655638	222222	-49.25059524	-19.54880953
1655638	222222	-49.24940476	-19.54821429
1655638	222222	-49.25	-19.54821429
1655638	222222	-49.25059524	-19.54821429
1655638	222222	-49.24880953	-19.54821429
1655638	222222	-49.24940476	-19.54642858
1655638	222222	-49.24880953	-19.54642858
1655638	222222	-49.24880953	-19.54702381
1655638	222222	-49.25059524	-19.54702381
1655638	222222	-49.25059524	-19.54761905
1655638	222222	-49.25119048	-19.54880953
1655638	222222	-49.25119048	-19.54702381
1655638	222222	-49.25119048	-19.54642858
1655638	222222	-49.25059524	-19.54642858
1655638	222222	-49.25119048	-19.54761905
1655638	222222	-49.25119048	-19.54821429
1655487	222222	-98.25119048	26.45238096
1655487	222222	-98.25059524	26.45238096
1655487	222222	-98.25119048	26.45297619
1655487	222222	-98.25059524	26.45297619
1655487	222222	-98.25119048	26.45357143
1655487	222222	-98.25059524	26.45357143
1655487	222222	-98.25	26.45297619
1655487	222222	-98.24940476	26.45297619
1655487	222222	-98.24880953	26.45297619
1655487	222222	-98.25	26.45357143
1655487	222222	-98.24940476	26.45357143
1655487	222222	-98.24880953	26.45357143
1655487	222222	-98.25	26.45178572
1655487	222222	-98.25	26.45238096
1655487	222222	-98.24940476	26.45238096
1655487	222222	-98.24880953	26.45238096
1655487	222222	-98.24940476	26.45178572
1655487	222222	-98.24880953	26.45178572
1655487	222222	-98.25119048	26.45119048
1655487	222222	-98.25059524	26.45119048
1655487	222222	-98.25119048	26.45178572
1655487	222222	-98.25059524	26.45178572
1655487	222222	-98.25	26.45119048
1655487	222222	-98.24940476	26.45119048
1655487	222222	-98.24880953	26.45119048
1659937	222222	75.54940477	19.65178572
1659937	222222	75.55	19.65178572
1659937	222222	75.54940477	19.65238096
1659937	222222	75.54940477	19.6529762
1659937	222222	75.55	19.6529762
1659937	222222	75.55059524	19.65238096
1659937	222222	75.55119048	19.65238096
1659937	222222	75.55	19.65238096
1659937	222222	75.55059524	19.6529762
1659937	222222	75.55119048	19.6529762
1659937	222222	75.55178572	19.6529762
1659937	222222	75.55059524	19.65119048
