locationid	userid	sumcrop	centroid_X	centroid_Y
1572003	222222	0	45.25	-17.54761905
1572195	222222	0	46.75	-24.54761905
1572203	222222	0	49.25	-18.04761905
1572222	222222	0	47.95238095	-14.75
1572258	222222	0	48.35119048	-19.25
1572264	222222	12	49.35119048	-18.25
1572272	222222	0	50.05059524	-15.14880952
1572427	222222	0	28.25	-31.54761905
1572494	222222	0	40.75	-1.047619048
1572539	222222	0	26.75	-10.54761905
1572559	222222	0	39.75	-13.54761905
1572629	222222	8	33.25	-10.04761905
1572660	222222	0	22.95238095	-27.75
1572668	222222	0	35.95238095	8.25
1572672	222222	0	34.95238095	-7.75
1572676	222222	0	37.95238095	-14.75
1572693	222222	0	23.95238095	-7.75
1572696	222222	0	37.95238095	-16.75
1572702	222222	0	40.95238095	-0.75
1572709	222222	0	37.95238095	2.25
1572726	222222	0	25.95238095	-32.75
1572744	222222	0	19.95238095	-26.75
1572753	222222	0	37.55059524	-13.34821429
1572756	222222	0	27.55059524	-7.348214286
1572772	222222	0	29.55059524	-18.34821429
1572804	222222	0	17.55059524	-20.34821429
1574776	222222	0	28.25	-19.54761905
1574830	222222	40	28.25	-15.54761905
1574868	222222	28	44.75	1.952380952
1574888	222222	0	23.75	-25.04761905
1574891	222222	0	30.75	-13.04761905
1574931	222222	0	28.75	-20.04761905
1574955	222222	0	27.75	-16.54761905
1574962	222222	0	29.75	-11.54761905
1575015	222222	0	26.75	-18.54761905
1575020	222222	0	38.75	-3.547619048
1575039	222222	0	33.25	-13.04761905
1575049	222222	0	25.25	-13.04761905
1575060	222222	0	33.25	-12.04761905
1575069	222222	0	30.25	-17.04761905
1575102	222222	0	26.25	-24.04761905
1575106	222222	0	47.25	4.952380952
1575145	222222	0	28.95238095	-10.75
1575157	222222	0	40.95238095	6.25
1575205	222222	100	31.95238095	-26.75
1575213	222222	0	19.95238095	-33.75
1575218	222222	0	30.95238095	-16.75
1575262	222222	0	47.55059524	4.651785714
1575264	222222	0	42.55059524	1.651785714
1575325	222222	0	30.45238095	-13.84821429
1575379	222222	0	45.45238095	2.151785714
1575388	222222	0	27.45238095	-18.84821429
1575427	222222	0	38.95238095	12.65178571
1575432	222222	0	28.95238095	-21.34821429
1575453	222222	0	36.95238095	12.65178571
1575472	222222	0	24.95238095	-12.34821429
1575473	222222	0	31.95238095	-21.34821429
1575502	222222	40	29.95238095	-20.34821429
1575534	222222	72	39.65178571	8.25
1575538	222222	40	29.65178571	-23.75
1575552	222222	0	24.65178571	-17.75
1575557	222222	0	39.65178571	6.25
