locationid	userid	sumcrop	centroid_X	centroid_Y
1572261	111111	16	48.35119048	-14.25
1572493	111111	36	37.75	-15.04761905
1575229	111111	88	26.55059524	-16.34821429
1575409	111111	44	26.45238095	-28.84821429
1576604	111111	8	30.95238095	-20.75
1579605	111111	100	31.75	-3.047619048
1579974	111111	76	43.55059524	9.651785714
1581150	111111	40	9.25	14.45238095
1581188	111111	40	-3.75	10.45238095
1629612	111111	0	11.25	46.45238095
1629927	111111	0	-46.75	-8.547619048
1630153	111111	36	48.25	58.45238095
1630505	111111	80	-102.75	40.45238095
1634108	111111	0	23.75	41.95238095
1634169	111111	20	36.75	8.952380952
1634371	111111	0	76.75	51.95238095
1636968	111111	0	104.25	-3.047619048
1638998	111111	0	102.952381	0.25
1641362	111111	36	-78.25	21.95238095
1641911	111111	84	68.75	54.95238095
1642710	111111	56	103.75	23.45238095
1642725	111111	28	121.75	-10.54761905
1645834	111111	0	-59.04761905	-34.75
1645963	111111	0	111.5505952	-2.348214286
1647195	111111	0	120.452381	17.15178571
1647559	111111	100	112.5505952	49.65178571
1648095	111111	88	115.452381	30.15178571
1648527	111111	84	22.55059524	61.65178571
1649102	111111	80	74.95238095	28.65178571
1649211	111111	72	-98.04761905	37.65178571
1649303	111111	0	-49.34821429	-23.75
1650134	111111	72	144.6517857	-35.75
1650263	111111	8	-96.34821429	19.25
1650586	111111	48	46.45238095	61.15178571
1651045	111111	0	139.6517857	-35.75
1651485	111111	100	45.35119048	34.75
1652029	111111	92	134.6517857	48.25
1652157	111111	12	114.3511905	38.75
1652314	111111	0	-93.64880952	37.75
1652584	111111	0	-54.84821429	-12.84821429
1652624	111111	0	-72.94940476	10.85119048
1652838	111111	4	129.25	50.45238095
1653271	111111	96	74.25	23.45238095
1653960	111111	100	37.75	10.95238095
1654359	111111	0	74.75	15.95238095
1654416	111111	36	-7.25	10.95238095
1654584	111111	0	20.75	47.95238095
1656245	111111	56	117.75	37.45238095
1656507	111111	36	-0.25	40.45238095
1656550	111111	100	14.75	50.45238095
1657694	111111	48	-76.75	37.95238095
1658087	111111	4	74.25	22.95238095
1658177	111111	48	-74.75	39.95238095
1658610	111111	48	76.95238095	20.25
1658696	111111	0	-2.75	51.95238095
1659145	111111	0	35.95238095	45.25
1659329	111111	48	146.952381	-33.75
1659539	111111	0	143.952381	-36.75
1659584	111111	72	-82.04761905	40.25
1659937	111111	88	75.55059524	19.65178571
