start,today,last_season_information,field_specification_assessment/geopoint_widget_placementmap,field_specification_assessment/_geopoint_widget_placementmap_latitude,field_specification_assessment/_geopoint_widget_placementmap_longitude,field_specification_assessment/_geopoint_widget_placementmap_altitude,field_specification_assessment/_geopoint_widget_placementmap_precision,field_specification_assessment/image_of_feild_from_path_road,multiple_crops,current_season_crop/current_season_current_crop,current_season_crop/current_season_additional_crops/maize,current_season_crop/current_season_additional_crops/millet,current_season_crop/current_season_additional_crops/rice,current_season_crop/current_season_additional_crops/sorghum,current_season_crop/current_season_additional_crops/beans,current_season_crop/current_season_additional_crops/cassava,current_season_crop/current_season_additional_crops/cotton,current_season_crop/current_season_additional_crops/forage,current_season_crop/current_season_additional_crops/groundnuts,current_season_crop/current_season_additional_crops/okra,current_season_crop/current_season_additional_crops/plantain,current_season_crop/current_season_additional_crops/potato,current_season_crop/current_season_additional_crops/sesame,current_season_crop/current_season_additional_crops/sweet_potato,current_season_crop/current_season_additional_crops/wheat,current_season_crop/current_season_additional_crops/other,current_season_crop/other_crop_not_listed,last_season_crop_group/multiple_crops_last_season,last_season_crop_group/last_season_main_crop,last_season_crop_group/last_season_additional_crops/maize,last_season_crop_group/last_season_additional_crops/millet,last_season_crop_group/last_season_additional_crops/rice,last_season_crop_group/last_season_additional_crops/sorghum,last_season_crop_group/last_season_additional_crops/beans,last_season_crop_group/last_season_additional_crops/cassava,last_season_crop_group/last_season_additional_crops/cotton,last_season_crop_group/last_season_additional_crops/forage,last_season_crop_group/last_season_additional_crops/groundnuts,last_season_crop_group/last_season_additional_crops/okra,last_season_crop_group/last_season_additional_crops/plantain,last_season_crop_group/last_season_additional_crops/potato,last_season_crop_group/last_season_additional_crops/sesame,last_season_crop_group/last_season_additional_crops/sweet_potato,last_season_crop_group/last_season_additional_crops/wheat,last_season_crop_group/last_season_additional_crops/other,last_season_crop_group/other_last_seaon_crop_not_listed,meta/instanceID,_id,_uuid,_submission_time,_date_modified,_tags,_notes,_version,_duration,_submitted_by,_total_media,_media_count,_media_all_received,_xform_id
2022-01-13T09:35:58.279Z,2022-01-13,yes,13.28026 -6.9345126 298.8 3.9,13.28026,-6.9345126,298.8,3.9,http://classic.ona.io/api/v1/files/24278965?filename=cropmonitoringmali/attachments/612384_helmets_crop_type_mapping/1642066875872.jpg,yes,millet,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,n/a,yes,millet,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,n/a,uuid:74cff078-c670-4cbe-b7eb-9e54bfbd6a3f,91382867,74cff078-c670-4cbe-b7eb-9e54bfbd6a3f,2022-01-13T14:39:18,2022-01-13T14:39:18,,,202111191724,,,1,1,True,612384
2022-01-13T09:44:07.445Z,2022-01-13,no,13.2791424 -6.9342534 299.9 3.9,13.2791424,-6.9342534,299.9,3.9,http://classic.ona.io/api/v1/files/24278967?filename=cropmonitoringmali/attachments/612384_helmets_crop_type_mapping/1642067265727.jpg,no,millet,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,uuid:1bd33462-08fd-43cb-8ee6-75dda70b7972,91382876,1bd33462-08fd-43cb-8ee6-75dda70b7972,2022-01-13T14:39:31,2022-01-13T14:39:31,,,202111191724,,,1,1,True,612384
2022-01-13T09:50:20.845Z,2022-01-13,yes,13.280029 -6.9325622 299.3 3.9,13.280029,-6.9325622,299.3,3.9,http://classic.ona.io/api/v1/files/24278970?filename=cropmonitoringmali/attachments/612384_helmets_crop_type_mapping/1642067728585.jpg,yes,millet,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,n/a,yes,millet,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,n/a,uuid:2e8a71ba-7f2a-4614-ae0e-dc3b7f0a5529,91382880,2e8a71ba-7f2a-4614-ae0e-dc3b7f0a5529,2022-01-13T14:39:35,2022-01-13T14:39:35,,,202111191724,,,1,1,True,612384
2022-01-13T09:58:27.707Z,2022-01-13,no,13.2809981 -6.9323315 299.5 3.9,13.2809981,-6.9323315,299.5,3.9,http://classic.ona.io/api/v1/files/24278971?filename=cropmonitoringmali/attachments/612384_helmets_crop_type_mapping/1642068302191.jpg,no,millet,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,uuid:76ce14c7-dfc3-4998-a5b7-76707b5672bf,91382883,76ce14c7-dfc3-4998-a5b7-76707b5672bf,2022-01-13T14:39:38,2022-01-13T14:39:38,,,202111191724,,,1,1,True,612384
2022-01-13T10:06:15.422Z,2022-01-13,no,13.2807272 -6.9312051 299.2 3.9,13.2807272,-6.9312051,299.2,3.9,http://classic.ona.io/api/v1/files/24278973?filename=cropmonitoringmali/attachments/612384_helmets_crop_type_mapping/1642068702360.jpg,no,millet,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,uuid:f9da974a-3d18-4818-8e9a-ffcdefd8b0bf,91382885,f9da974a-3d18-4818-8e9a-ffcdefd8b0bf,2022-01-13T14:39:41,2022-01-13T14:39:41,,,202111191724,,,1,1,True,612384
2022-01-13T10:12:58.059Z,2022-01-13,no,13.2820184 -6.9308824 298.0 3.9,13.2820184,-6.9308824,298.0,3.9,http://classic.ona.io/api/v1/files/24278974?filename=cropmonitoringmali/attachments/612384_helmets_crop_type_mapping/1642069220184.jpg,no,millet,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,uuid:2a9a1532-431f-4c50-9fb5-9251a35f7d3c,91382888,2a9a1532-431f-4c50-9fb5-9251a35f7d3c,2022-01-13T14:39:44,2022-01-13T14:39:44,,,202111191724,,,1,1,True,612384
2022-01-13T10:21:41.120Z,2022-01-13,yes,13.2828655 -6.9321714 297.0 3.9,13.2828655,-6.9321714,297.0,3.9,http://classic.ona.io/api/v1/files/24278975?filename=cropmonitoringmali/attachments/612384_helmets_crop_type_mapping/1642069900197.jpg,yes,sorghum,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,n/a,yes,beans,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,n/a,uuid:a451f9f9-b770-4880-b3d1-d4e86467353c,91382889,a451f9f9-b770-4880-b3d1-d4e86467353c,2022-01-13T14:39:47,2022-01-13T14:39:47,,,202111191724,,,1,1,True,612384
2022-01-13T10:33:12.713Z,2022-01-13,no,13.2833713 -6.9323752 294.1 5.0,13.2833713,-6.9323752,294.1,5.0,http://classic.ona.io/api/v1/files/24278976?filename=cropmonitoringmali/attachments/612384_helmets_crop_type_mapping/1642071429720.jpg,no,millet,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,uuid:14f20c57-12d8-4442-a96d-ac86427019b7,91382892,14f20c57-12d8-4442-a96d-ac86427019b7,2022-01-13T14:39:51,2022-01-13T14:39:51,,,202111191724,,,1,1,True,612384
2022-01-13T08:31:55.451Z,2022-01-13,yes,13.2344533 -6.7877598 288.0 3.9,13.2344533,-6.7877598,288.0,3.9,http://classic.ona.io/api/v1/files/24296744?filename=cropmonitoringmali/attachments/612384_helmets_crop_type_mapping/1642063163108.jpg,yes,sorghum,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,n/a,yes,sorghum,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,n/a,uuid:fa23b110-252a-4fa4-820f-e2216aa88887,91418598,fa23b110-252a-4fa4-820f-e2216aa88887,2022-01-14T13:53:38,2022-01-14T13:53:39,,,202111191724,,,1,1,True,612384
2022-01-13T08:46:13.272Z,2022-01-13,yes,13.2349603 -6.7900892 274.5 5.0,13.2349603,-6.7900892,274.5,5.0,http://classic.ona.io/api/v1/files/24296747?filename=cropmonitoringmali/attachments/612384_helmets_crop_type_mapping/1642063724201.jpg,no,millet,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,sorghum,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,n/a,uuid:6f8ffe1d-2838-41a3-8a6e-c2593b9edf9f,91418601,6f8ffe1d-2838-41a3-8a6e-c2593b9edf9f,2022-01-14T13:53:42,2022-01-14T13:53:42,,,202111191724,,,1,1,True,612384
2022-01-13T08:56:08.736Z,2022-01-13,yes,13.2354186 -6.7907973 282.1 3.9,13.2354186,-6.7907973,282.1,3.9,http://classic.ona.io/api/v1/files/24296749?filename=cropmonitoringmali/attachments/612384_helmets_crop_type_mapping/1642064445885.jpg,yes,millet,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,n/a,no,millet,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,uuid:f667003c-c119-4c00-9f53-1b9051960eaf,91418603,f667003c-c119-4c00-9f53-1b9051960eaf,2022-01-14T13:53:46,2022-01-14T13:53:46,,,202111191724,,,1,1,True,612384
2022-01-13T09:05:12.933Z,2022-01-13,yes,13.2357989 -6.7922222 280.8 3.9,13.2357989,-6.7922222,280.8,3.9,http://classic.ona.io/api/v1/files/24296751?filename=cropmonitoringmali/attachments/612384_helmets_crop_type_mapping/1642064931811.jpg,no,millet,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,no,millet,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,uuid:5add9c6f-11e0-4a08-b0cb-051db091b227,91418605,5add9c6f-11e0-4a08-b0cb-051db091b227,2022-01-14T13:53:49,2022-01-14T13:53:49,,,202111191724,,,1,1,True,612384
2022-01-13T09:10:11.640Z,2022-01-13,yes,13.2355625 -6.7932026 281.7 3.9,13.2355625,-6.7932026,281.7,3.9,http://classic.ona.io/api/v1/files/24296753?filename=cropmonitoringmali/attachments/612384_helmets_crop_type_mapping/1642065174697.jpg,no,sorghum,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,no,millet,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,uuid:9ca61f04-321e-492a-84a4-2c3bbb93f724,91418607,9ca61f04-321e-492a-84a4-2c3bbb93f724,2022-01-14T13:53:52,2022-01-14T13:53:52,,,202111191724,,,1,1,True,612384
2022-01-13T09:14:54.423Z,2022-01-13,yes,13.2360531 -6.7939274 283.2 3.9,13.2360531,-6.7939274,283.2,3.9,http://classic.ona.io/api/v1/files/24296756?filename=cropmonitoringmali/attachments/612384_helmets_crop_type_mapping/1642065639092.jpg,no,sorghum,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,no,millet,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,uuid:f71e55c1-c7bf-4d9d-aa1f-da97c992d4fd,91418610,f71e55c1-c7bf-4d9d-aa1f-da97c992d4fd,2022-01-14T13:53:55,2022-01-14T13:53:55,,,202111191724,,,1,1,True,612384
2022-01-13T09:24:15.999Z,2022-01-13,yes,13.2351089 -6.7932322 286.8 3.9,13.2351089,-6.7932322,286.8,3.9,http://classic.ona.io/api/v1/files/24296757?filename=cropmonitoringmali/attachments/612384_helmets_crop_type_mapping/1642066051119.jpg,no,sorghum,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,no,groundnuts,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,uuid:bdeb52db-d229-464a-a531-d22ddf95a897,91418611,bdeb52db-d229-464a-a531-d22ddf95a897,2022-01-14T13:53:58,2022-01-14T13:53:58,,,202111191724,,,1,1,True,612384
2022-01-13T09:31:26.423Z,2022-01-13,yes,13.237024 -6.7926919 302.4 3.9,13.237024,-6.7926919,302.4,3.9,http://classic.ona.io/api/v1/files/24296759?filename=cropmonitoringmali/attachments/612384_helmets_crop_type_mapping/1642066442308.jpg,no,millet,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,no,sorghum,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,uuid:0e80e548-5078-41a5-a15c-1a362ddbeef2,91418613,0e80e548-5078-41a5-a15c-1a362ddbeef2,2022-01-14T13:54:01,2022-01-14T13:54:01,,,202111191724,,,1,1,True,612384
2022-01-13T09:35:02.868Z,2022-01-13,yes,13.2375355 -6.7922851 302.1 3.9,13.2375355,-6.7922851,302.1,3.9,http://classic.ona.io/api/v1/files/24296762?filename=cropmonitoringmali/attachments/612384_helmets_crop_type_mapping/1642066622858.jpg,no,sorghum,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,no,sorghum,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,uuid:a6a81d1a-4bd7-4f8e-90cd-8c57cd19241c,91418617,a6a81d1a-4bd7-4f8e-90cd-8c57cd19241c,2022-01-14T13:54:04,2022-01-14T13:54:04,,,202111191724,,,1,1,True,612384
2022-01-13T09:41:31.774Z,2022-01-13,yes,13.2388272 -6.7907044 302.6 3.98,13.2388272,-6.7907044,302.6,3.98,http://classic.ona.io/api/v1/files/24296764?filename=cropmonitoringmali/attachments/612384_helmets_crop_type_mapping/1642067025788.jpg,yes,sorghum,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,n/a,no,sorghum,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,uuid:4f5ba37e-3c6a-43ff-baa1-ca3f9e4c78d5,91418618,4f5ba37e-3c6a-43ff-baa1-ca3f9e4c78d5,2022-01-14T13:54:07,2022-01-14T13:54:07,,,202111191724,,,1,1,True,612384
2022-01-13T09:48:13.197Z,2022-01-13,yes,13.2393772 -6.7881372 284.8 3.9,13.2393772,-6.7881372,284.8,3.9,http://classic.ona.io/api/v1/files/24296765?filename=cropmonitoringmali/attachments/612384_helmets_crop_type_mapping/1642067496352.jpg,no,rice,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,no,rice,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,uuid:60b7d607-6e51-49d1-b3bc-a94a99e42fe8,91418620,60b7d607-6e51-49d1-b3bc-a94a99e42fe8,2022-01-14T13:54:10,2022-01-14T13:54:10,,,202111191724,,,1,1,True,612384
2022-01-13T09:54:14.404Z,2022-01-13,yes,13.2400654 -6.7861076 290.3 4.0,13.2400654,-6.7861076,290.3,4.0,http://classic.ona.io/api/v1/files/24296769?filename=cropmonitoringmali/attachments/612384_helmets_crop_type_mapping/1642067771553.jpg,no,rice,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,no,rice,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,uuid:aa083f67-4ae6-4e5a-95c2-d513cff31b80,91418623,aa083f67-4ae6-4e5a-95c2-d513cff31b80,2022-01-14T13:54:13,2022-01-14T13:54:13,,,202111191724,,,1,1,True,612384
2022-01-13T09:59:39.242Z,2022-01-13,yes,13.2411502 -6.7839782 290.2 3.92,13.2411502,-6.7839782,290.2,3.92,http://classic.ona.io/api/v1/files/24296772?filename=cropmonitoringmali/attachments/612384_helmets_crop_type_mapping/1642068111315.jpg,no,rice,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,no,rice,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,uuid:f98c57c1-6b8a-4702-800f-ff213ce91d73,91418626,f98c57c1-6b8a-4702-800f-ff213ce91d73,2022-01-14T13:54:17,2022-01-14T13:54:17,,,202111191724,,,1,1,True,612384
2022-01-13T10:02:31.383Z,2022-01-13,yes,13.2417902 -6.7835752 290.3 5.0,13.2417902,-6.7835752,290.3,5.0,http://classic.ona.io/api/v1/files/24296773?filename=cropmonitoringmali/attachments/612384_helmets_crop_type_mapping/1642068225174.jpg,no,rice,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,no,rice,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,uuid:d88ac64a-aec4-4429-bc6d-e7415473b6f0,91418628,d88ac64a-aec4-4429-bc6d-e7415473b6f0,2022-01-14T13:54:20,2022-01-14T13:54:20,,,202111191724,,,1,1,True,612384
2022-01-13T10:05:13.565Z,2022-01-13,yes,13.2427841 -6.7833097 290.2 3.9,13.2427841,-6.7833097,290.2,3.9,http://classic.ona.io/api/v1/files/24296776?filename=cropmonitoringmali/attachments/612384_helmets_crop_type_mapping/1642068443058.jpg,no,rice,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,no,rice,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,uuid:c060539c-e5e3-42a1-a367-940af5535a80,91418632,c060539c-e5e3-42a1-a367-940af5535a80,2022-01-14T13:54:23,2022-01-14T13:54:23,,,202111191724,,,1,1,True,612384
2022-01-13T10:08:05.527Z,2022-01-13,yes,13.2430302 -6.7833022 290.0 5.0,13.2430302,-6.7833022,290.0,5.0,http://classic.ona.io/api/v1/files/24296778?filename=cropmonitoringmali/attachments/612384_helmets_crop_type_mapping/1642068569611.jpg,no,rice,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,rice,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,n/a,uuid:b8babb93-aff7-4809-9488-db46435b6244,91418638,b8babb93-aff7-4809-9488-db46435b6244,2022-01-14T13:54:26,2022-01-14T13:54:26,,,202111191724,,,1,1,True,612384
2022-01-13T10:10:00.656Z,2022-01-13,yes,13.2434617 -6.7836049 290.4 3.98,13.2434617,-6.7836049,290.4,3.98,http://classic.ona.io/api/v1/files/24296780?filename=cropmonitoringmali/attachments/612384_helmets_crop_type_mapping/1642068765871.jpg,no,rice,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,no,rice,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,uuid:15d722cd-748c-4e24-8018-578d4293a38a,91418645,15d722cd-748c-4e24-8018-578d4293a38a,2022-01-14T13:54:29,2022-01-14T13:54:29,,,202111191724,,,1,1,True,612384
2022-01-13T10:13:21.621Z,2022-01-13,yes,13.2436524 -6.7834391 290.3 5.0,13.2436524,-6.7834391,290.3,5.0,http://classic.ona.io/api/v1/files/24296783?filename=cropmonitoringmali/attachments/612384_helmets_crop_type_mapping/1642068854088.jpg,no,rice,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,no,rice,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,uuid:d385789a-93a2-4b01-b256-556306b09cdb,91418654,d385789a-93a2-4b01-b256-556306b09cdb,2022-01-14T13:54:32,2022-01-14T13:54:32,,,202111191724,,,1,1,True,612384
2022-01-13T10:14:59.550Z,2022-01-13,yes,13.2438641 -6.7837098 290.4 4.0,13.2438641,-6.7837098,290.4,4.0,http://classic.ona.io/api/v1/files/24296785?filename=cropmonitoringmali/attachments/612384_helmets_crop_type_mapping/1642069029467.jpg,no,rice,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,no,rice,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,uuid:35e2d518-a7dc-4496-9c96-2ec4f9886ff9,91418661,35e2d518-a7dc-4496-9c96-2ec4f9886ff9,2022-01-14T13:54:35,2022-01-14T13:54:35,,,202111191724,,,1,1,True,612384
2022-01-13T10:17:46.109Z,2022-01-13,yes,13.2443188 -6.7835751 290.0 3.98,13.2443188,-6.7835751,290.0,3.98,http://classic.ona.io/api/v1/files/24296786?filename=cropmonitoringmali/attachments/612384_helmets_crop_type_mapping/1642069242091.jpg,no,rice,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,no,rice,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,uuid:3d7dff08-b5e5-484e-bc50-0d90791edcdc,91418667,3d7dff08-b5e5-484e-bc50-0d90791edcdc,2022-01-14T13:54:38,2022-01-14T13:54:38,,,202111191724,,,1,1,True,612384
2022-01-14T07:25:13.748Z,2022-01-14,yes,13.2309333 -6.7862404 283.6 3.95,13.2309333,-6.7862404,283.6,3.95,http://classic.ona.io/api/v1/files/24296789?filename=cropmonitoringmali/attachments/612384_helmets_crop_type_mapping/1642145338441.jpg,no,sorghum,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,no,sorghum,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,uuid:b9c93d09-1357-4f9c-aeaa-7fc50d870095,91418672,b9c93d09-1357-4f9c-aeaa-7fc50d870095,2022-01-14T13:54:41,2022-01-14T13:54:41,,,202111191724,,,1,1,True,612384
