,plot_id,sample_id,lon,lat,flagged,collection_time,analysis_duration,imagery_title,imagery_attributions,sample_geom,Crop/ or not
0,139459144,543839977,29.220931911999998,-0.8679355059999999,False,2021-04-13 05:41,11.0 secs,Mapbox Satellite,,POINT(29.220931912 -0.867935506),Non-crop
1,139459145,543839978,30.901431821,-1.497424228,False,2021-04-13 05:41,6.1 secs,Mapbox Satellite,,POINT(30.901431821 -1.497424228),Non-crop
2,139459146,543839979,28.537324894,-1.7593180169999998,False,2021-04-13 05:41,5.3 secs,Mapbox Satellite,,POINT(28.537324894 -1.759318017),Non-crop
3,139459147,543839980,29.167310239000003,-2.235693169,False,2021-04-13 05:41,4.6 secs,Mapbox Satellite,,POINT(29.167310239 -2.235693169),Non-crop
4,139459148,543839981,28.957315124,-1.128458256,False,2021-04-13 05:41,18.2 secs,Mapbox Satellite,,POINT(28.957315124 -1.128458256),Non-crop
5,139459149,543839982,28.539301188000003,-1.18638002,False,2021-04-13 05:41,5.1 secs,Mapbox Satellite,,POINT(28.539301188 -1.18638002),Non-crop
6,139459150,543626110,29.692387858000004,-1.339661895,True,2021-04-13 05:46,296.9 secs,,,POINT(29.692387858 -1.339661895),
7,139459151,543839983,30.900892831999997,-1.7587792819999999,False,2021-04-13 05:46,5.4 secs,Mapbox Satellite,,POINT(30.900892832 -1.758779282),Non-crop
8,139459152,543839984,29.593948001999998,-2.915554404,False,2021-04-13 05:47,5.7 secs,Mapbox Satellite,,POINT(29.593948002 -2.915554404),Non-crop
9,139459153,543839985,29.90867118,-1.3981177809999998,False,2021-04-13 05:47,11.1 secs,Mapbox Satellite,,POINT(29.90867118 -1.398117781),Non-crop
10,139459154,543839986,30.952897538000002,-1.187996641,False,2021-04-13 05:47,10.0 secs,Mapbox Satellite,,POINT(30.952897538 -1.187996641),Non-crop
11,139459155,543839987,30.270188835,-1.555157659,False,2021-04-13 05:47,19.8 secs,Mapbox Satellite w/ Labels,,POINT(30.270188835 -1.555157659),Non-crop
12,139459156,543839988,30.165281109000002,-2.393913641,False,2021-04-13 05:48,14.4 secs,Mapbox Satellite w/ Labels,,POINT(30.165281109 -2.393913641),Non-crop
13,139459157,543839989,30.901611485,-2.498725745,False,2021-04-13 05:48,7.4 secs,Mapbox Satellite w/ Labels,,POINT(30.901611485 -2.498725745),Non-crop
14,139459158,543626118,29.95564532,-0.870091215,True,2021-04-13 05:49,70.8 secs,,,POINT(29.95564532 -0.870091215),
